date,startup,vertical,subvertical,city,investors,round,amount,month,year
2018-08-27,MyUpchar,healthcare,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,5.0,8,2018
2018-08-28,Narvar,it,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,3.0,8,2018
2018-08-30,True North,finance,Private Equity Firm,Mumbai,Undisclosed,Private Equity,600.0,8,2018
2018-07-02,Biryani By Kilo,consumer internet,Online Food Delivery,Gurugram,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,1.0,7,2018
2018-07-04,Anchanto,it,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity,4.0,7,2018
2018-07-05,Loan Tap,consumer internet,Online Lending Platform For Salaried Professionals,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,6.25,7,2018
2018-07-06,PolicyBazaar,consumer internet,Online Insurance Selling Platform,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,27.7,7,2018
2018-07-09,zippserv,consumer internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,Info Edge (India) Ltd,Seed/ Angel Funding,0.44,7,2018
2018-07-09,Groww,consumer internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,1.1,7,2018
2018-07-10,Avenue Growth,consumer internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/ Angel Funding,0.437,7,2018
2018-07-10,Kinara Capital,finance,Lending Platform For Micro and Small Enterprises,Bengaluru,ResponsAbility,Private Equity,5.0,7,2018
2018-07-10,Shop 101,consumer internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,5.0,7,2018
2018-07-11,Sambandh,consumer internet,Online Micro Lending Platform,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,2.5,7,2018
2018-07-12,19th mile,it,Artificial intelligence-based sales acceleration software platform,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed/ Angel Funding,0.18,7,2018
2018-07-12,5th Vital,healthcare,Home diagnostics services provider,Bengaluru,Brand Capital and Others,Seed/ Angel Funding,0.5,7,2018
2018-07-13,MEngage,healthcare,A Doctor-Patient Engagement Platform,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed/ Angel Funding,0.175,7,2018
2018-07-17,Ofbusiness,finance,Online Lending Platform For SME,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,29.0,7,2018
2018-07-17,Cars24,consumer internet,Online Used Car Marketplace,Gurugram,"Kingsway FCI Fund, KCK Global & Others",Private Equity,49.7,7,2018
2018-07-18,The Ken,consumer internet,Subscription-Only News Website,Bengaluru,Omidyar Network & Others,Seed/ Angel Funding,1.5,7,2018
2018-07-19,Book My Show,consumer internet,Online Ticketing Platform,Mumbai,"TPG Growth, The Rise Fund & Others",Private Equity,100.0,7,2018
2018-07-20,HousingMan,consumer internet,Property Discovery Platform,Bengaluru,Undisclosed,Seed/ Angel Funding,1.5,7,2018
2018-07-21,PaySense,consumer internet,Online Consumer Lending Platform,Mumbai,PayU & Others,Private Equity,18.0,7,2018
2018-07-23,VTION,technology,Media Analytics,Gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed/ Angel Funding,0.28,7,2018
